DATE,RGDPC2CNA625NUPN
1952/1/1,530.575001
1953/1/1,558.7781335
1954/1/1,558.7668681
1955/1/1,575.9022507
1956/1/1,610.6069229
1957/1/1,639.2792695
1958/1/1,746.9812107
1959/1/1,789.1826885
1960/1/1,771.6597174
1961/1/1,622.9505215
1962/1/1,584.8025944
1963/1/1,615.7439068
1964/1/1,682.8791496
1965/1/1,731.3497731
1966/1/1,770.599657
1967/1/1,716.3740693
1968/1/1,670.3247233
1969/1/1,734.38756
1970/1/1,818.8049145
1971/1/1,840.815793
1972/1/1,842.0225488
1973/1/1,884.0301249
1974/1/1,881.0570427
1975/1/1,925.8959189
1976/1/1,882.4072488
1977/1/1,919.2823073
1978/1/1,1010.593063
1979/1/1,1059.125809
1980/1/1,1085.242507
1981/1/1,1134.992923
1982/1/1,1215.683243
1983/1/1,1282.426565
1984/1/1,1405.780712
1985/1/1,1494.035069
1986/1/1,1568.840612
1987/1/1,1683.927453
1988/1/1,1732.37513
1989/1/1,1714.144143
1990/1/1,1718.062128
1991/1/1,1802.00442
1992/1/1,1929.191159
1993/1/1,2036.046276
1994/1/1,2239.778063
1995/1/1,2559.318502
1996/1/1,2630.608558
1997/1/1,2869.362295
1998/1/1,2867.114308
1999/1/1,3003.985722
2000/1/1,3173.695551
2001/1/1,3364.775948
2002/1/1,3746.519529
2003/1/1,4054.49557
2004/1/1,4458.139824
2005/1/1,4802.163789
2006/1/1,5325.564403
2007/1/1,5955.229788
2008/1/1,6500.178501
2009/1/1,7075.371578
2010/1/1,7746.066199